agent_i,agent_j,coop_i,coop_j,game,match_id,mechanism,points_i,points_j,run_dir,seat_i,seat_j
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-5-nano(CoT),0.5,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-5-nano(CoT),Mediation,1.25,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-oss-20b(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.14285714285714285,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),deepseek/deepseek-chat-v3.1(CoT),1.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|deepseek/deepseek-chat-v3.1(CoT),Disarmament,1.905,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-5-nano(CoT),1.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-5-nano(CoT),Disarmament,2.35625,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-oss-20b(CoT),1.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-oss-20b(CoT),Disarmament,0.0,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),1.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Disarmament,1.905,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),deepseek/deepseek-chat-v3.1(CoT),1.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|deepseek/deepseek-chat-v3.1(CoT),Disarmament,1.0025,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-5-nano(CoT),0.14285714285714285,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-5-nano(CoT),Disarmament,0.9525,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-oss-20b(CoT),Disarmament,0.9548749999999999,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Disarmament,2.864625,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|deepseek/deepseek-chat-v3.1(CoT),Disarmament,2.8575,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-5-nano(CoT),Disarmament,0.9548749999999999,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-oss-20b(CoT),0.14285714285714285,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-oss-20b(CoT),Disarmament,0.9525,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),1.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Disarmament,1.905,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),deepseek/deepseek-chat-v3.1(CoT),1.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|deepseek/deepseek-chat-v3.1(CoT),Disarmament,1.905,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-5-nano(CoT),1.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-5-nano(CoT),Disarmament,0.0,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-oss-20b(CoT),1.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-oss-20b(CoT),Disarmament,1.905,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.42857142857142855,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Disarmament,0.95,nan,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|deepseek/deepseek-chat-v3.1(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-5-nano(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-oss-20b(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|deepseek/deepseek-chat-v3.1(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-5-nano(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-oss-20b(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|deepseek/deepseek-chat-v3.1(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-5-nano(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-oss-20b(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|deepseek/deepseek-chat-v3.1(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-5-nano(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-oss-20b(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),ReputationPrisonersDilemma,0.9684875295137696,nan,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),deepseek/deepseek-chat-v3.1(CoT),0.3,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|deepseek/deepseek-chat-v3.1(CoT),Repetition,1.3126419868879657,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-5-nano(CoT),0.1,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-5-nano(CoT),Repetition,0.8888647275858548,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-oss-20b(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|deepseek/deepseek-chat-v3.1(CoT),Repetition,1.1277331333695988,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-5-nano(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-oss-20b(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Repetition,1.1955409667029322,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|deepseek/deepseek-chat-v3.1(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-5-nano(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-oss-20b(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|deepseek/deepseek-chat-v3.1(CoT),Repetition,0.9684875295137696,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),openai/gpt-5-nano(CoT),0.1,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|openai/gpt-5-nano(CoT),Repetition,0.8549608109191882,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.08333333333333333,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Repetition,1.0283612234376074,nan,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
